city,lat,long,max_temp,humidity,cloudiness,wind_speed,country,date
zelenoborskiy,66.845,32.3622,49.87,80,84,7.85,RU,1627267388
bereda,43.2686,-7.5406,60.01,99,33,1.54,ES,1627267029
palmer,42.1584,-72.3287,73.02,84,75,1.01,US,1627267011
abonnema,4.7084,6.7931,72.37,83,71,4.52,NG,1627267388
parana,-31.732,-60.5238,53.56,88,0,6.62,AR,1627267388
cherskiy,68.75,161.3,55.26,45,0,15.88,RU,1627266877
gualeguay,-33.1416,-59.3097,54.14,88,58,8.48,AR,1627267388
yatsuo,36.5667,137.1333,89.53,56,40,9.22,JP,1627267389
locri,38.2414,16.2623,81.32,52,2,1.14,IT,1627267389
sharan,54.8167,54.0,57.65,52,5,3.29,RU,1627267389
biltine,14.5333,20.9167,75.78,73,100,10.47,TD,1627267065
melission,40.7742,22.3442,76.39,68,1,2.35,GR,1627267389
vilyuysk,63.7553,121.6247,86.85,37,0,8.79,RU,1627267389
mastic beach,40.7668,-72.8521,75.97,91,1,1.01,US,1627267390
arlit,18.7369,7.3853,93.81,20,100,8.81,NE,1627267390
clyde river,70.4692,-68.5914,34.03,100,90,4.61,CA,1627266887
san policarpo,12.1791,125.5072,90.64,55,100,11.83,PH,1627266925
urucara,-2.5364,-57.76,75.24,65,30,3.2,BR,1627267077
saint-augustin,51.226,-58.6502,58.03,70,52,6.91,CA,1627266914
creel,27.75,-107.6333,55.35,90,100,1.63,MX,1627267390
boca do acre,-8.7522,-67.3978,79.48,56,87,2.42,BR,1627267390
ransang,8.9603,117.5828,88.27,65,97,13.65,PH,1627267391
januaria,-15.4833,-44.3667,62.85,47,7,3.96,BR,1627267391
san ramon,37.7799,-121.978,84.27,54,1,13.8,US,1627267164
abnub,27.2696,31.1511,77.22,57,0,7.67,EG,1627267391
lompoc,34.6391,-120.4579,70.7,81,90,10.36,US,1627266938
kruisfontein,-34.0033,24.7314,56.88,34,100,12.01,ZA,1627266903
guaxupe,-21.3053,-46.7128,54.39,57,0,5.28,BR,1627267391
oktyabrskiy,54.4815,53.471,58.91,48,2,2.44,RU,1627267017
strezhevoy,60.7333,77.5889,57.18,97,100,8.19,RU,1627267392
mitchell,43.7094,-98.0298,80.58,55,1,1.99,US,1627267392
topeka,39.0483,-95.678,79.23,85,1,4.61,US,1627267261
westport,41.1415,-73.3579,77.25,93,90,5.75,US,1627266956
jacareacanga,-6.2222,-57.7528,74.46,53,12,1.52,BR,1627267392
narasannapeta,18.4167,84.05,88.5,60,97,7.49,IN,1627267392
gat,31.61,34.7642,79.48,84,27,3.49,IL,1627267262
dandong,40.1292,124.3947,86.65,64,100,6.17,CN,1627267393
ilhabela,-23.7781,-45.3581,66.63,52,0,3.56,BR,1627267393
hami,42.8,93.45,92.46,14,4,4.99,CN,1627266975
margate,51.3813,1.3862,64.31,93,93,3.0,GB,1627266928
dayong,25.0209,118.2898,92.88,51,79,7.02,CN,1627267393
barcelos,41.5388,-8.6151,64.92,93,3,3.02,PT,1627267393
narsaq,60.9167,-46.05,46.62,62,100,1.79,GL,1627267394
storslett,69.7678,21.0247,54.18,99,100,3.22,NO,1627267394
